company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_name,investor_region,funding_round_type,metric
Lively Inc.,,,,,,,,,Lively Inc.        
BravoSolution,,,,,,,,,BravoSolution        
Maker Studios,,,,,,,,,Maker Studios        
KannaLife Sciences,,,,,,,,,KannaLife Sciences        
iQuantifi.com,,,,,,,,,iQuantifi.com        
Sophia Learning,,,,,,,,,Sophia Learning        
PayEase,,,,,,,,,PayEase        
Payoff.com,,,,,,,,,Payoff.com        
SpaceCraft,,,,,,,,,SpaceCraft        
Inlet Technologies,,,,,,,,,Inlet Technologies        
"Zenph, Inc.",,,,,,,,,"Zenph, Inc.        "
Nitric Bio,,,,,,,,,Nitric Bio        
Voci Technologies,,,,,,,,,Voci Technologies        
REBIScan,,,,,,,,,REBIScan        
Beyond Lucid Technologies,,,,,,,,,Beyond Lucid Technologies        
NoWait,,,,,,,,,NoWait        
RepairPal,,,,,,,,,RepairPal        
KloudNation,,,,,,,,,KloudNation        
Carena,,,,,,,,,Carena        
IPXI,,,,,,,,,IPXI        
Spot Runner,,,,,,,,,Spot Runner        
Mahalo,,,,,,,,,Mahalo        
The Electric Sheep,,,,,,,,,The Electric Sheep        
"TargetSpot, Inc.",,,,,,,,,"TargetSpot, Inc.        "
Marketbright,,,,,,,,,Marketbright        
9Lenses,,,,,,,,,9Lenses        
FerroKin Biosciences,,,,,,,,,FerroKin Biosciences        
Agios Pharmaceuticals,,,,,,,,,Agios Pharmaceuticals        
Acceleron Pharma,,,,,,,,,Acceleron Pharma        
Acetylon Pharmaceuticals,,,,,,,,,Acetylon Pharmaceuticals        
VentiRx Pharmaceuticals,,,,,,,,,VentiRx Pharmaceuticals        
Tengion,,,,,,,,,Tengion        
Ceregene,,,,,,,,,Ceregene        
Adama Materials,,,,,,,,,Adama Materials        
Kolltan Pharmaceuticals,,,,,,,,,Kolltan Pharmaceuticals        
Skyonic,,,,,,,,,Skyonic        
LOOKCAST,,,,,,,,,LOOKCAST        
CorrectNet,,,,,,,,,CorrectNet        
Domino Street,,,,,,,,,Domino Street        
RentStuff.com,,,,,,,,,RentStuff.com        
Variable,,,,,,,,,Variable        
ConsumerBell,,,,,,,,,ConsumerBell        
Polyera,,,,,,,,,Polyera        
Wireless Seismic,,,,,,,,,Wireless Seismic        
Konarka Technologies,,,,,,,,,Konarka Technologies        
Binary Event Network,,,,,,,,,Binary Event Network        
Episencial,,,,,,,,,Episencial        
SmartyPants Vitamins,,,,,,,,,SmartyPants Vitamins        
Plaxo,,,,,,,,,Plaxo        
CinemaNow,,,,,,,,,CinemaNow        
GridNetworks,,,,,,,,,GridNetworks        
BlackArrow,,,,,,,,,BlackArrow        
Soonr,,,,,,,,,Soonr        
Move Networks,,,,,,,,,Move Networks        
VirtualLogix,,,,,,,,,VirtualLogix        
VMware,,,,,,,,,VMware        
Finjan,,,,,,,,,Finjan        
Avega Systems,,,,,,,,,Avega Systems        
Xobni,,,,,,,,,Xobni        
BroadLogic Network Technologies,,,,,,,,,BroadLogic Network Technologies        
Emergent Game Technologies,,,,,,,,,Emergent Game Technologies        
Digitalsmiths,,,,,,,,,Digitalsmiths        
ZeroG Wireless,,,,,,,,,ZeroG Wireless        
Appfolio,,,,,,,,,Appfolio        
Widevine Technologies,,,,,,,,,Widevine Technologies        
OpTier,,,,,,,,,OpTier        
Quantcast,,,,,,,,,Quantcast        
iControl Networks,,,,,,,,,iControl Networks        
GlassHouse Technologies,,,,,,,,,GlassHouse Technologies        
Mashery,,,,,,,,,Mashery        
HyTrust,,,,,,,,,HyTrust        
CREDANT Technologies,,,,,,,,,CREDANT Technologies        
NeoPath Networks,,,,,,,,,NeoPath Networks        
Guardium,,,,,,,,,Guardium        
Reva Systems,,,,,,,,,Reva Systems        
Kalon Semiconductor,,,,,,,,,Kalon Semiconductor        
Mavenir Systems,,,,,,,,,Mavenir Systems        
ThingMagic,,,,,,,,,ThingMagic        
Crossbow Technologies,,,,,,,,,Crossbow Technologies        
Atlantis Computing,,,,,,,,,Atlantis Computing        
Corvil,,,,,,,,,Corvil        
Traverse Networks,,,,,,,,,Traverse Networks        
BNI Video,,,,,,,,,BNI Video        
RingCentral,,,,,,,,,RingCentral        
AeroScout,,,,,,,,,AeroScout        
Apptio,,,,,,,,,Apptio        
VideoIQ,,,,,,,,,VideoIQ        
Virident Systems,,,,,,,,,Virident Systems        
Puppet Labs,,,,,,,,,Puppet Labs        
Parallels,,,,,,,,,Parallels        
Piston Cloud Computing,,,,,,,,,Piston Cloud Computing        
WSO2,,,,,,,,,WSO2        
VCE,,,,,,,,,VCE        
Moxtra,,,,,,,,,Moxtra        
Belly,,,,,,,,,Belly        
Loggly,,,,,,,,,Loggly        
PHD Virtual Technologies,,,,,,,,,PHD Virtual Technologies        
Virtual Computer,,,,,,,,,Virtual Computer        
Open Kernel Labs,,,,,,,,,Open Kernel Labs        
Vyatta,,,,,,,,,Vyatta        
Desktone,,,,,,,,,Desktone        
AdmitOne Security,,,,,,,,,AdmitOne Security        
Cotendo,,,,,,,,,Cotendo        
BlueStacks,,,,,,,,,BlueStacks        
Armor5,,,,,,,,,Armor5        
Incoming Media,,,,,,,,,Incoming Media        
Marketecture,,,,,,,,,Marketecture        
Five9,,,,,,,,,Five9        
Bizo,,,,,,,,,Bizo        
OrangeSoda,,,,,,,,,OrangeSoda        
Tigo Energy,,,,,,,,,Tigo Energy        
Spacebikini,,,,,,,,,Spacebikini        
Castlight Health,,,,,,,,,Castlight Health        
Avila Therapeutics,,,,,,,,,Avila Therapeutics        
GameSkinny,,,,,,,,,GameSkinny        
uromovie,,,,,,,,,uromovie        
Automattic,,,,,,,,,Automattic        
Red Condor,,,,,,,,,Red Condor        
eegoes,,,,,,,,,eegoes        
Stamped,,,,,,,,,Stamped        
Ingk Labs,,,,,,,,,Ingk Labs        
Invite Media,,,,,,,,,Invite Media        
Kiwi Crate,,,,,,,,,Kiwi Crate        
SnagFilms,,,,,,,,,SnagFilms        
